question_no,question,option1,option2,option3,option4,correct_answer,description,reference
1,महाराष्ट्र राज्यातील कोणत्या जिल्ह्यातील रोहणी ग्रामपंचायतीला राष्ट्रीय ई-गव्हर्नन्स पुरस्कार २०२५ अंतर्गत सुवर्णपदक देण्यात आले?,रत्नागिरी,जळगाव,धुळे,रायगड,रत्नागिरी,N/A,N/A
2,भारताचा पहिला ई-वेस्ट Recycling पार्क कोठे निर्माण होत आहे?,बेंगळुरू,कोलकाता,चेन्नई,मुंबई,बेंगळुरू,N/A,N/A
3,मालदीव देशाची ग्लोबल टूरिझम ॲम्बेसेडर म्हणून कोणाची नियुक्ती करण्यात आली?,करिश्मा कपूर,कृती सेनन,करिश्मा कपूर,कॅटरीना कैफ,करिश्मा कपूर,N/A,N/A
4,राधाकृष्ण महाराज 2025 पुरस्कार कोणाला जाहीर झाला?,शरदचंद्र पवार,डॉ. तात्या लहार्‍े,डॉ. गibbard पटेल,यशवंतराव पवार,शरदचंद्र पवार,N/A,N/A
5,कोणते शहर भारताची राजधानी बर्ले आहे?,बेंगळुरू,कोलकाता,भोपाळ,मुंबई,कोलकाता,N/A,N/A
6,‘दगडाची पूजा करीत ईश्वरप्राप्ती होत असेल तर मग मी पवनताचीच पूजा करीन.’ या विचारांत मूळतिपूजेसाठीचा फोलपणा...... यांद्वारे दाखवला.,गुरू नानक,संत कबीर,महात्मा फुले,राजा राममोहन रॉय,संत कबीर,N/A,N/A
7,कृष्णा-कोयना संगमावर कोणते ठिकाण वसले आहे?,माहुली,रासोबाची वाडी,हरिपूर,कऱ्हाड,माहुली,N/A,N/A
8,"‘जन-गण-मन’ हे भारताचे राष्ट्रगीत सर्वप्रथम २७ डिसेंबर, १९११ रोजी गायले गेले. सर्व १९११ मधील हे कॉंग्रेस अधिवेशन कोठे भरले होते?",मुंबई,वाराणसी,कलकत्ता,अलाहाबाद,कलकत्ता,N/A,N/A
9,सतीप्रथा कायद्याने बंद करण्याचे श्रेय... या व्हाईसरायला जाते.,लॉर्ड बेंटिंक,लॉर्ड वेल्स्ली,लॉर्ड कॅनिंग,लॉर्ड डलहौसी,लॉर्ड बेंटिंक,N/A,N/A
10,मुंबई विमानतळाला कोणते वीरता पुरस्कार देण्यात आले आहे?,जिवाजी महाराज आंतरराष्ट्रीय विमानतळ,बाळासाहेब ठाकरे आंतरराष्ट्रीय विमानतळ,यशवंतराव चव्हाण आंतरराष्ट्रीय विमानतळ,द. मा. पाटील आंतरराष्ट्रीय विमानतळ,बाळासाहेब ठाकरे आंतरराष्ट्रीय विमानतळ,N/A,N/A
